PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Kyle Kuzma,WAS,WAS @ POR,12/21/2023,W,37,32,11,22,50,3,7,42.9,7,10,70,2,6,8,6,1,0,3,0,4,50.6
Matisse Thybulle,POR,POR vs. WAS,12/21/2023,L,30,0,0,3,0,0,2,0,0,0,-,2,2,4,2,3,3,0,2,19,25.8
Anfernee Simons,POR,POR vs. WAS,12/21/2023,L,38,41,15,28,53.6,7,14,50,4,5,80,1,3,4,7,0,0,3,2,-2,53.3
Deandre Ayton,POR,POR vs. WAS,12/21/2023,L,35,23,10,21,47.6,0,0,-,3,4,75,10,6,16,2,0,1,5,3,-8,43.2
Malcolm Brogdon,POR,POR vs. WAS,12/21/2023,L,28,7,3,8,37.5,1,3,33.3,0,0,-,0,2,2,4,1,0,1,3,-16,17.4
Corey Kispert,WAS,WAS @ POR,12/21/2023,W,22,9,3,8,37.5,2,6,33.3,1,1,100,0,0,0,2,0,0,0,0,0,12
Jordan Poole,WAS,WAS @ POR,12/21/2023,W,34,13,4,13,30.8,0,4,0,5,5,100,0,2,2,6,1,0,3,2,5,24.4
Daniel Gafford,WAS,WAS @ POR,12/21/2023,W,31,16,7,10,70,0,0,-,2,3,66.7,3,5,8,0,4,6,1,6,9,54.6
Deni Avdija,WAS,WAS @ POR,12/21/2023,W,35,13,4,7,57.1,0,1,0,5,7,71.4,2,9,11,6,1,0,2,1,9,36.2
Tyus Jones,WAS,WAS @ POR,12/21/2023,W,36,24,9,15,60,5,7,71.4,1,2,50,0,3,3,3,1,0,2,1,6,33.1
Jabari Walker,POR,POR vs. WAS,12/21/2023,L,24,8,3,6,50,1,2,50,1,2,50,4,7,11,3,1,1,2,3,18,29.7
Bilal Coulibaly,WAS,WAS @ POR,12/21/2023,W,18,2,1,1,100,0,0,-,0,0,-,0,2,2,2,0,0,0,5,-13,7.4
Scoot Henderson,POR,POR vs. WAS,12/21/2023,L,26,4,0,5,0,0,0,-,4,4,100,0,4,4,2,0,0,1,3,7,10.8
Mike Muscala,WAS,WAS @ POR,12/21/2023,W,14,5,2,5,40,1,3,33.3,0,2,0,0,1,1,1,1,0,0,2,-7,10.7
Danilo Gallinari,WAS,WAS @ POR,12/21/2023,W,13,4,1,3,33.3,1,2,50,1,2,50,0,2,2,0,0,0,0,0,-6,6.4
Toumani Camara,POR,POR vs. WAS,12/21/2023,L,18,4,2,3,66.7,0,1,0,0,0,-,1,2,3,0,1,0,0,3,-16,10.6
Duop Reath,POR,POR vs. WAS,12/21/2023,L,10,10,4,7,57.1,1,1,100,1,1,100,1,4,5,0,0,1,1,4,8,18
Anthony Gill,WAS,WAS @ POR,12/21/2023,W,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2,0
Nikola Jokic,DEN,DEN @ BKN,12/22/2023,W,34,31,12,17,70.6,2,2,100,5,5,100,2,9,11,7,3,2,0,4,29,69.7
Mikal Bridges,BKN,BKN vs. DEN,12/22/2023,L,29,14,7,16,43.8,0,3,0,0,1,0,2,1,3,6,0,0,3,2,-13,23.6
Michael Porter Jr.,DEN,DEN @ BKN,12/22/2023,W,34,15,6,10,60,3,5,60,0,0,-,0,4,4,3,0,1,1,1,13,26.3
Cameron Johnson,BKN,BKN vs. DEN,12/22/2023,L,25,17,6,9,66.7,3,6,50,2,3,66.7,0,1,1,2,1,0,1,2,-13,23.2
Day'Ron Sharpe,BKN,BKN vs. DEN,12/22/2023,L,19,13,5,8,62.5,0,0,-,3,6,50,5,5,10,4,2,2,0,2,2,43
Jamal Murray,DEN,DEN @ BKN,12/22/2023,W,34,32,11,19,57.9,4,6,66.7,6,8,75,1,4,5,9,0,2,1,0,18,56.5
Aaron Gordon,DEN,DEN @ BKN,12/22/2023,W,32,18,5,6,83.3,0,0,-,8,9,88.9,2,3,5,2,1,0,1,1,19,29
Spencer Dinwiddie,BKN,BKN vs. DEN,12/22/2023,L,33,6,2,4,50,2,4,50,0,0,-,1,0,1,3,0,0,1,3,-11,10.7
Kentavious Caldwell-Pope,DEN,DEN @ BKN,12/22/2023,W,30,3,1,6,16.7,1,2,50,0,0,-,1,4,5,4,2,0,1,3,15,20
DeAndre Jordan,DEN,DEN @ BKN,12/22/2023,W,6,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-9,2
OG Anunoby,TOR,TOR @ PHI,12/22/2023,L,35,12,4,9,44.4,0,4,0,4,4,100,0,4,4,6,1,0,2,4,-11,26.8
Scottie Barnes,TOR,TOR @ PHI,12/22/2023,L,35,12,3,11,27.3,2,7,28.6,4,4,100,1,6,7,7,1,4,3,0,-1,42.9
Javonte Smart,PHI,PHI vs. TOR,12/22/2023,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3,0
Paul Reed,PHI,PHI vs. TOR,12/22/2023,W,13,4,1,2,50,0,1,0,2,2,100,1,3,4,0,1,1,0,2,8,14.8
Tyrese Maxey,PHI,PHI vs. TOR,12/22/2023,W,41,33,13,22,59.1,4,10,40,3,3,100,0,4,4,10,0,0,3,3,17,49.8
Reggie Jackson,DEN,DEN @ BKN,12/22/2023,W,16,8,4,13,30.8,0,5,0,0,0,-,0,2,2,3,0,0,1,4,-15,13.9
Royce O'Neale,BKN,BKN vs. DEN,12/22/2023,L,22,13,4,7,57.1,2,5,40,3,4,75,2,4,6,3,0,2,1,1,5,29.7
Dorian Finney-Smith,BKN,BKN vs. DEN,12/22/2023,L,30,14,5,9,55.6,4,5,80,0,0,-,2,2,4,1,0,0,1,2,11,19.3
Dennis Smith Jr.,BKN,BKN vs. DEN,12/22/2023,L,19,7,2,7,28.6,1,4,25,2,2,100,1,3,4,5,1,0,0,5,9,22.3
Nic Claxton,BKN,BKN vs. DEN,12/22/2023,L,28,10,4,8,50,0,0,-,2,4,50,1,15,16,6,0,3,1,1,-10,46.2
Zeke Nnaji,DEN,DEN @ BKN,12/22/2023,W,7,2,1,2,50,0,0,-,0,0,-,1,2,3,0,0,0,0,2,-9,5.6
Cam Thomas,BKN,BKN vs. DEN,12/22/2023,L,34,23,8,21,38.1,1,6,16.7,6,6,100,0,0,0,2,0,0,2,5,-5,24
Julian Strawther,DEN,DEN @ BKN,12/22/2023,W,11,0,0,5,0,0,3,0,0,0,-,1,2,3,0,0,0,1,1,-10,2.6
Christian Braun,DEN,DEN @ BKN,12/22/2023,W,16,2,0,3,0,0,1,0,2,2,100,0,0,0,1,0,0,0,1,-12,3.5
Peyton Watson,DEN,DEN @ BKN,12/22/2023,W,20,9,4,5,80,1,2,50,0,1,0,0,3,3,0,0,0,0,2,-14,12.6
Stephen Curry,GSW,GSW vs. WAS,12/22/2023,W,27,30,9,18,50,8,13,61.5,4,5,80,0,4,4,7,0,1,2,0,-1,46.3
Kyle Lowry,MIA,MIA vs. ATL,12/22/2023,W,22,3,1,2,50,1,2,50,0,0,-,0,4,4,3,0,0,2,2,9,10.3
Kevin Love,MIA,MIA vs. ATL,12/22/2023,W,10,6,1,4,25,1,4,25,3,4,75,0,0,0,1,0,0,0,3,-1,7.5
Patty Mills,ATL,ATL @ MIA,12/22/2023,L,12,3,1,2,50,1,1,100,0,0,-,1,0,1,1,0,0,1,4,-2,4.7
Wesley Matthews,ATL,ATL @ MIA,12/22/2023,L,7,0,0,1,0,0,1,0,0,0,-,0,1,1,0,0,0,0,1,-3,1.2
Clint Capela,ATL,ATL @ MIA,12/22/2023,L,28,8,3,3,100,0,0,-,2,2,100,3,7,10,0,0,0,2,5,6,18
Dejounte Murray,ATL,ATL @ MIA,12/22/2023,L,34,24,10,20,50,3,9,33.3,1,3,33.3,1,7,8,6,3,0,2,0,-3,49.6
Precious Achiuwa,TOR,TOR @ PHI,12/22/2023,L,16,4,2,9,22.2,0,2,0,0,2,0,3,3,6,1,2,0,1,2,-1,17.7
Gary Trent Jr.,TOR,TOR @ PHI,12/22/2023,L,26,17,6,11,54.5,5,8,62.5,0,0,-,1,3,4,1,1,0,0,3,-10,26.3
Devin Booker,PHX,PHX @ SAC,12/22/2023,L,36,24,9,20,45,0,3,0,6,9,66.7,2,2,4,7,0,0,0,1,-24,39.3
Sasha Vezenkov,SAC,SAC vs. PHX,12/22/2023,W,6,3,1,1,100,1,1,100,0,0,-,1,0,1,0,0,0,1,1,-4,3.2
Grayson Allen,PHX,PHX @ SAC,12/22/2023,L,30,11,4,10,40,3,6,50,0,0,-,2,2,4,2,3,1,1,1,-20,29.8
Kevin Huerter,SAC,SAC vs. PHX,12/22/2023,W,27,13,5,9,55.6,2,6,33.3,1,1,100,1,1,2,5,1,0,1,1,22,24.9
Chimezie Metu,PHX,PHX @ SAC,12/22/2023,L,13,10,3,6,50,0,2,0,4,4,100,1,3,4,0,0,0,1,1,5,13.8
Drew Eubanks,PHX,PHX @ SAC,12/22/2023,L,15,2,1,3,33.3,0,0,-,0,0,-,1,1,2,0,1,0,2,2,-23,5.4
Juan Toscano-Anderson,SAC,SAC vs. PHX,12/22/2023,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-5,0
Bol Bol,PHX,PHX @ SAC,12/22/2023,L,3,2,1,2,50,0,0,-,0,0,-,1,0,1,0,0,0,0,0,4,3.2
Chris Duarte,SAC,SAC vs. PHX,12/22/2023,W,2,0,0,2,0,0,1,0,0,0,-,1,0,1,0,0,0,0,0,-6,1.2
Kessler Edwards,SAC,SAC vs. PHX,12/22/2023,W,2,0,0,1,0,0,1,0,0,0,-,0,0,0,0,0,0,0,0,-6,0
Davion Mitchell,SAC,SAC vs. PHX,12/22/2023,W,2,0,0,1,0,0,1,0,0,0,-,0,0,0,0,0,0,0,0,-6,0
Keon Ellis,SAC,SAC vs. PHX,12/22/2023,W,17,1,0,3,0,0,2,0,1,2,50,1,2,3,1,1,1,0,3,-3,12.1
JaVale McGee,SAC,SAC vs. PHX,12/22/2023,W,10,5,1,2,50,0,0,-,3,4,75,0,1,1,0,0,0,1,3,-7,5.2
Trey Lyles,SAC,SAC vs. PHX,12/22/2023,W,11,0,0,1,0,0,0,-,0,0,-,1,3,4,0,0,0,1,1,4,3.8
De'Aaron Fox,SAC,SAC vs. PHX,12/22/2023,W,32,23,9,17,52.9,2,6,33.3,3,4,75,0,6,6,7,3,2,2,2,21,53.7
Malik Monk,SAC,SAC vs. PHX,12/22/2023,W,20,7,3,8,37.5,0,3,0,1,2,50,0,2,2,5,0,3,2,4,-3,23.9
Nassir Little,PHX,PHX @ SAC,12/22/2023,L,16,6,3,8,37.5,0,3,0,0,0,-,0,0,0,0,1,0,1,3,0,8
Keegan Murray,SAC,SAC vs. PHX,12/22/2023,W,33,21,8,13,61.5,3,7,42.9,2,2,100,1,4,5,2,0,0,1,3,25,29
Domantas Sabonis,SAC,SAC vs. PHX,12/22/2023,W,35,28,12,15,80,0,2,0,4,5,80,1,10,11,12,0,0,3,3,27,56.2
Jordan Goodwin,PHX,PHX @ SAC,12/22/2023,L,14,3,1,6,16.7,0,1,0,1,2,50,2,1,3,0,1,0,1,2,5,8.6
Saben Lee,PHX,PHX @ SAC,12/22/2023,L,20,6,2,8,25,0,3,0,2,2,100,1,2,3,4,1,1,1,2,11,20.6
Udoka Azubuike,PHX,PHX @ SAC,12/22/2023,L,22,11,5,5,100,0,0,-,1,2,50,5,6,11,2,0,1,1,4,1,29.2
Yuta Watanabe,PHX,PHX @ SAC,12/22/2023,L,12,2,1,4,25,0,3,0,0,0,-,0,2,2,0,0,0,0,2,5,4.4
Mike Muscala,WAS,WAS @ GSW,12/22/2023,L,14,2,1,5,20,0,1,0,0,0,-,2,4,6,0,0,0,1,2,-18,8.2
Cory Joseph,GSW,GSW vs. WAS,12/22/2023,W,14,0,0,3,0,0,1,0,0,0,-,0,1,1,0,1,0,1,3,-7,3.2
Tyus Jones,WAS,WAS @ GSW,12/22/2023,L,25,14,6,8,75,2,2,100,0,0,-,1,2,3,6,1,0,0,0,-12,29.6
Kevon Looney,GSW,GSW vs. WAS,12/22/2023,W,11,5,2,3,66.7,0,0,-,1,1,100,2,3,5,0,0,0,0,2,1,11
Kyle Kuzma,WAS,WAS @ GSW,12/22/2023,L,25,7,3,11,27.3,1,5,20,0,1,0,0,9,9,3,0,0,3,2,-5,19.3
Jerome Robinson,GSW,GSW vs. WAS,12/22/2023,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-4,0
Daniel Gafford,WAS,WAS @ GSW,12/22/2023,L,23,15,5,7,71.4,0,0,-,5,6,83.3,1,3,4,1,1,0,1,1,-3,23.3
Deni Avdija,WAS,WAS @ GSW,12/22/2023,L,20,7,2,5,40,0,0,-,3,3,100,2,2,4,4,1,0,0,1,0,20.8
Anthony Gill,WAS,WAS @ GSW,12/22/2023,L,11,8,4,5,80,0,1,0,0,0,-,2,1,3,0,0,1,0,0,10,14.6
Moses Moody,GSW,GSW vs. WAS,12/22/2023,W,19,5,1,4,25,0,3,0,3,4,75,1,2,3,0,1,0,2,1,8,9.6
Usman Garuba,GSW,GSW vs. WAS,12/22/2023,W,2,0,0,1,0,0,0,-,0,0,-,0,0,0,1,0,0,0,0,-4,1.5
Patrick Baldwin Jr.,WAS,WAS @ GSW,12/22/2023,L,7,0,0,1,0,0,0,-,0,0,-,0,1,1,0,0,0,0,0,10,1.2
Trayce Jackson-Davis,GSW,GSW vs. WAS,12/22/2023,W,25,10,5,7,71.4,0,0,-,0,0,-,5,10,15,3,0,1,1,2,10,34.5
Chris Paul,GSW,GSW vs. WAS,12/22/2023,W,25,4,2,7,28.6,0,3,0,0,1,0,0,7,7,10,1,0,1,2,27,29.4
Harrison Barnes,SAC,SAC vs. PHX,12/22/2023,W,37,19,5,10,50,4,8,50,5,6,83.3,0,1,1,0,2,1,0,2,16,29.2
Eric Gordon,PHX,PHX @ SAC,12/22/2023,L,25,0,0,2,0,0,1,0,0,0,-,0,4,4,2,0,1,0,1,-25,10.8
Kelly Oubre Jr.,PHI,PHI vs. TOR,12/22/2023,W,26,8,3,9,33.3,2,6,33.3,0,0,-,0,3,3,0,1,0,0,4,-5,14.6
Robert Covington,PHI,PHI vs. TOR,12/22/2023,W,24,0,0,1,0,0,1,0,0,0,-,0,3,3,2,1,1,0,4,15,12.6
Otto Porter Jr.,TOR,TOR @ PHI,12/22/2023,L,15,5,1,3,33.3,1,3,33.3,2,2,100,0,3,3,0,0,0,0,3,-10,8.6
Dennis Schroder,TOR,TOR @ PHI,12/22/2023,L,34,6,2,8,25,0,2,0,2,2,100,1,2,3,6,2,0,0,0,-16,24.6
Tobias Harris,PHI,PHI vs. TOR,12/22/2023,W,38,33,12,23,52.2,5,9,55.6,4,4,100,0,8,8,7,1,0,2,2,8,54.1
Gradey Dick,TOR,TOR @ PHI,12/22/2023,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,5,3
Jaden Springer,PHI,PHI vs. TOR,12/22/2023,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3,0
KJ Martin,PHI,PHI vs. TOR,12/22/2023,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3,0
Malachi Flynn,TOR,TOR @ PHI,12/22/2023,L,10,2,1,4,25,0,2,0,0,0,-,2,2,4,2,0,1,3,0,9,9.8
Jalen McDaniels,TOR,TOR @ PHI,12/22/2023,L,2,3,1,1,100,1,1,100,0,0,-,0,2,2,0,0,0,0,0,3,5.4
Danuel House Jr.,PHI,PHI vs. TOR,12/22/2023,W,23,3,1,1,100,0,0,-,1,2,50,0,1,1,1,0,0,2,2,17,3.7
Furkan Korkmaz,PHI,PHI vs. TOR,12/22/2023,W,7,2,1,1,100,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-7,3.2
Pascal Siakam,TOR,TOR @ PHI,12/22/2023,L,36,31,10,16,62.5,0,4,0,11,12,91.7,1,4,5,5,0,1,2,1,-4,45.5
Jakob Poeltl,TOR,TOR @ PHI,12/22/2023,L,29,19,9,15,60,0,0,-,1,2,50,2,6,8,2,1,0,1,3,-14,33.6
Joel Embiid,PHI,PHI vs. TOR,12/22/2023,W,35,31,11,21,52.4,2,2,100,7,8,87.5,1,9,10,9,2,4,6,1,2,68.5
Marcus Morris Sr.,PHI,PHI vs. TOR,12/22/2023,W,31,7,2,3,66.7,1,2,50,2,2,100,1,3,4,5,0,0,0,3,4,19.3
Ryan Rollins,WAS,WAS @ GSW,12/22/2023,L,11,7,3,4,75,1,1,100,0,1,0,0,1,1,1,0,1,0,1,10,12.7
Lester Quinones,GSW,GSW vs. WAS,12/22/2023,W,6,3,1,3,33.3,1,2,50,0,0,-,0,3,3,1,0,0,1,1,-12,7.1
Gui Santos,GSW,GSW vs. WAS,12/22/2023,W,6,7,2,3,66.7,1,2,50,2,2,100,1,1,2,0,0,0,0,1,-12,9.4
Jared Butler,WAS,WAS @ GSW,12/22/2023,L,7,8,3,5,60,1,3,33.3,1,2,50,0,1,1,4,1,0,0,0,10,18.2
Brandin Podziemski,GSW,GSW vs. WAS,12/22/2023,W,29,10,3,9,33.3,2,5,40,2,2,100,3,4,7,5,1,0,1,2,16,27.9
Bilal Coulibaly,WAS,WAS @ GSW,12/22/2023,L,32,7,3,8,37.5,1,2,50,0,0,-,0,3,3,2,1,1,2,1,-12,17.6
Corey Kispert,WAS,WAS @ GSW,12/22/2023,L,25,18,7,15,46.7,2,7,28.6,2,2,100,0,1,1,0,0,1,1,3,-20,21.2
Jonathan Kuminga,GSW,GSW vs. WAS,12/22/2023,W,27,22,9,11,81.8,1,2,50,3,3,100,2,2,4,3,1,0,1,2,9,33.3
Jordan Poole,WAS,WAS @ GSW,12/22/2023,L,27,25,7,21,33.3,3,12,25,8,9,88.9,1,2,3,3,2,0,1,3,-9,38.1
Landry Shamet,WAS,WAS @ GSW,12/22/2023,L,13,0,0,2,0,0,1,0,0,0,-,0,0,0,1,0,0,0,2,-16,1.5
Dario Saric,GSW,GSW vs. WAS,12/22/2023,W,20,13,5,11,45.5,1,4,25,2,2,100,0,3,3,1,0,0,0,1,17,18.1
Jae'Sean Tate,HOU,HOU vs. DAL,12/22/2023,W,18,2,1,2,50,0,1,0,0,0,-,1,7,8,1,0,0,3,4,-4,10.1
Amen Thompson,HOU,HOU vs. DAL,12/22/2023,W,22,9,4,9,44.4,0,2,0,1,2,50,0,6,6,4,1,0,3,4,-3,22.2
Cam Whitmore,HOU,HOU vs. DAL,12/22/2023,W,14,14,6,12,50,1,6,16.7,1,2,50,2,2,4,0,2,0,0,2,-10,24.8
Olivier-Maxence Prosper,DAL,DAL @ HOU,12/22/2023,L,30,20,6,13,46.2,1,4,25,7,9,77.8,5,1,6,2,1,0,3,2,-5,30.2
Dexter Dennis,DAL,DAL @ HOU,12/22/2023,L,17,18,8,11,72.7,1,3,33.3,1,2,50,0,5,5,4,0,0,0,0,10,30
Greg Brown III,DAL,DAL @ HOU,12/22/2023,L,12,3,0,3,0,0,1,0,3,4,75,1,4,5,2,0,0,0,1,-1,12
Jermaine Samuels Jr.,HOU,HOU vs. DAL,12/22/2023,W,9,6,3,3,100,0,0,-,0,0,-,0,1,1,0,1,0,0,0,-5,10.2
Jock Landale,HOU,HOU vs. DAL,12/22/2023,W,16,3,1,5,20,0,3,0,1,2,50,3,1,4,2,0,1,0,1,-9,13.8
Richaun Holmes,DAL,DAL @ HOU,12/22/2023,L,22,16,7,12,58.3,0,0,-,2,3,66.7,5,3,8,1,1,0,1,2,10,29.1
A.J. Lawson,DAL,DAL @ HOU,12/22/2023,L,23,8,3,4,75,0,1,0,2,2,100,0,2,2,1,4,0,3,0,2,20.9
Kevin Durant,PHX,PHX @ SAC,12/22/2023,L,34,28,9,14,64.3,2,3,66.7,8,9,88.9,0,7,7,2,1,0,7,0,-14,35.4
Haywood Highsmith,MIA,MIA vs. ATL,12/22/2023,W,10,5,2,6,33.3,1,3,33.3,0,0,-,3,2,5,2,0,0,0,2,-4,14
Tyler Herro,MIA,MIA vs. ATL,12/22/2023,W,34,30,11,21,52.4,7,13,53.8,1,2,50,0,7,7,2,1,0,4,1,7,40.4
Caleb Martin,MIA,MIA vs. ATL,12/22/2023,W,35,11,4,9,44.4,2,4,50,1,1,100,2,6,8,2,1,1,0,4,-1,29.6
Trae Young,ATL,ATL @ MIA,12/22/2023,L,40,30,10,22,45.5,7,13,53.8,3,3,100,0,3,3,13,2,0,6,1,-11,53.1
Duncan Robinson,MIA,MIA vs. ATL,12/22/2023,W,25,27,8,11,72.7,4,7,57.1,7,7,100,1,2,3,3,1,0,2,0,14,36.1
Onyeka Okongwu,ATL,ATL @ MIA,12/22/2023,L,26,9,4,7,57.1,0,1,0,1,2,50,4,3,7,1,1,2,0,3,-10,27.9
Saddiq Bey,ATL,ATL @ MIA,12/22/2023,L,40,16,6,14,42.9,2,8,25,2,2,100,2,8,10,2,2,0,2,2,-12,35
Jeff Green,HOU,HOU vs. DAL,12/22/2023,W,8,2,1,2,50,0,0,-,0,0,-,0,1,1,0,0,2,0,0,5,9.2
Markieff Morris,DAL,DAL @ HOU,12/22/2023,L,12,4,1,4,25,1,4,25,1,2,50,0,2,2,0,0,0,0,0,-13,6.4
Tim Hardaway Jr.,DAL,DAL @ HOU,12/22/2023,L,26,16,6,20,30,2,8,25,2,2,100,1,2,3,1,0,0,1,0,-27,20.1
Seth Curry,DAL,DAL @ HOU,12/22/2023,L,18,0,0,7,0,0,2,0,0,0,-,0,2,2,0,2,0,2,1,-23,6.4
Dwight Powell,DAL,DAL @ HOU,12/22/2023,L,8,0,0,1,0,0,1,0,0,0,-,0,4,4,0,0,0,0,1,-1,4.8
Fred VanVleet,HOU,HOU vs. DAL,12/22/2023,W,26,10,3,8,37.5,1,5,20,3,3,100,0,2,2,4,1,0,0,2,29,21.4
Derrick Jones Jr.,DAL,DAL @ HOU,12/22/2023,L,22,3,1,4,25,0,1,0,1,2,50,2,2,4,1,0,0,1,3,-21,8.3
Dillon Brooks,HOU,HOU vs. DAL,12/22/2023,W,22,10,4,9,44.4,2,5,40,0,0,-,0,3,3,1,0,0,2,2,35,13.1
Klay Thompson,GSW,GSW vs. WAS,12/22/2023,W,27,20,8,17,47.1,4,10,40,0,0,-,0,3,3,2,0,0,2,0,7,24.6
Nate Hinton,HOU,HOU vs. DAL,12/22/2023,W,10,3,1,3,33.3,1,2,50,0,0,-,1,1,2,1,0,0,1,3,-5,5.9
Jalen Green,HOU,HOU vs. DAL,12/22/2023,W,27,17,5,14,35.7,3,7,42.9,4,4,100,1,5,6,4,2,0,4,2,35,32.2
Jaden Hardy,DAL,DAL @ HOU,12/22/2023,L,24,8,3,17,17.6,2,12,16.7,0,0,-,0,2,2,4,0,0,0,5,-33,16.4
Jabari Smith Jr.,HOU,HOU vs. DAL,12/22/2023,W,31,21,8,13,61.5,1,3,33.3,4,5,80,2,6,8,1,0,0,1,0,37,31.1
Aaron Holiday,HOU,HOU vs. DAL,12/22/2023,W,15,3,1,3,33.3,1,3,33.3,0,0,-,0,3,3,0,0,0,2,0,-5,4.6
Grant Williams,DAL,DAL @ HOU,12/22/2023,L,26,0,0,5,0,0,3,0,0,0,-,0,4,4,2,2,1,0,2,-28,16.8
Bam Adebayo,MIA,MIA vs. ATL,12/22/2023,W,38,18,5,14,35.7,0,1,0,8,10,80,2,9,11,6,2,0,6,2,10,40.2
Josh Richardson,MIA,MIA vs. ATL,12/22/2023,W,29,3,1,5,20,0,4,0,1,1,100,0,3,3,1,1,0,1,0,0,10.1
Bogdan Bogdanovic,ATL,ATL @ MIA,12/22/2023,L,35,23,8,24,33.3,6,18,33.3,1,2,50,1,1,2,5,1,0,0,3,-8,35.9
Jaime Jaquez Jr.,MIA,MIA vs. ATL,12/22/2023,W,37,19,7,14,50,1,1,100,4,5,80,4,3,7,1,1,1,2,4,11,32.9
Garrison Mathews,ATL,ATL @ MIA,12/22/2023,L,18,0,0,3,0,0,3,0,0,0,-,0,1,1,1,0,0,0,4,-2,2.7
Alperen Sengun,HOU,HOU vs. DAL,12/22/2023,W,25,22,8,12,66.7,1,1,100,5,5,100,2,13,15,3,0,0,0,2,30,44.5
Patrick Williams,CHI,CHI vs. CLE,12/23/2023,L,35,13,5,11,45.5,2,5,40,1,1,100,0,2,2,2,0,1,2,3,0,19.4
Clint Capela,ATL,ATL vs. MEM,12/23/2023,L,30,20,8,11,72.7,0,0,-,4,4,100,5,7,12,1,0,2,1,2,2,40.9
Dejounte Murray,ATL,ATL vs. MEM,12/23/2023,L,35,26,10,15,66.7,4,6,66.7,2,2,100,1,3,4,4,2,0,3,4,-4,39.8
John Konchar,MEM,MEM @ ATL,12/23/2023,W,13,5,2,3,66.7,1,2,50,0,0,-,1,4,5,2,0,2,0,1,3,20
Garrison Mathews,ATL,ATL vs. MEM,12/23/2023,L,14,0,0,3,0,0,2,0,0,0,-,0,1,1,1,1,0,0,3,-6,5.7
Santi Aldama,MEM,MEM @ ATL,12/23/2023,W,27,6,2,7,28.6,1,4,25,1,2,50,0,4,4,3,0,1,1,0,3,17.3
Desmond Bane,MEM,MEM @ ATL,12/23/2023,W,36,37,13,25,52,5,14,35.7,6,6,100,0,6,6,6,1,1,2,0,-5,57.2
Bogdan Bogdanovic,ATL,ATL vs. MEM,12/23/2023,L,34,16,6,15,40,2,8,25,2,3,66.7,1,3,4,3,0,0,0,2,-1,25.3
Jaren Jackson Jr.,MEM,MEM @ ATL,12/23/2023,W,24,20,8,10,80,1,2,50,3,4,75,2,0,2,0,0,0,2,5,0,20.4
Trae Young,ATL,ATL vs. MEM,12/23/2023,L,41,30,11,24,45.8,3,10,30,5,7,71.4,0,5,5,13,1,1,2,3,2,59.5
Ja Morant,MEM,MEM @ ATL,12/23/2023,W,36,30,14,25,56,1,3,33.3,1,1,100,0,6,6,11,1,1,3,1,2,56.7
Onyeka Okongwu,ATL,ATL vs. MEM,12/23/2023,L,28,10,5,10,50,0,2,0,0,0,-,4,3,7,4,2,2,3,4,-7,33.4
Saddiq Bey,ATL,ATL vs. MEM,12/23/2023,L,38,14,4,11,36.4,3,9,33.3,3,4,75,1,5,6,2,2,0,1,2,-7,29.2
Xavier Tillman,MEM,MEM @ ATL,12/23/2023,W,16,6,3,7,42.9,0,0,-,0,0,-,2,1,3,0,1,2,0,0,4,18.6
Ziaire Williams,MEM,MEM @ ATL,12/23/2023,W,23,8,3,8,37.5,1,3,33.3,1,3,33.3,1,2,3,3,0,0,1,3,6,15.1
Vince Williams Jr.,MEM,MEM @ ATL,12/23/2023,W,35,5,2,6,33.3,1,5,20,0,0,-,2,9,11,1,2,0,1,4,13,24.7
Seth Lundy,ATL,ATL vs. MEM,12/23/2023,L,19,3,1,7,14.3,1,6,16.7,0,0,-,1,1,2,0,0,0,0,2,-9,5.4
Nikola Vucevic,CHI,CHI vs. CLE,12/23/2023,L,34,20,7,11,63.6,2,5,40,4,4,100,1,11,12,4,1,1,1,1,-12,45.4
Jarrett Allen,CLE,CLE @ CHI,12/23/2023,W,35,19,6,9,66.7,0,1,0,7,10,70,8,9,17,7,1,1,0,0,6,55.9
Jevon Carter,CHI,CHI vs. CLE,12/23/2023,L,9,3,1,7,14.3,1,5,20,0,0,-,0,0,0,0,0,1,1,1,-5,5
Max Strus,CLE,CLE @ CHI,12/23/2023,W,41,26,9,22,40.9,5,17,29.4,3,3,100,0,1,1,7,2,1,3,2,14,43.7
Isaac Okoro,CLE,CLE @ CHI,12/23/2023,W,35,12,3,9,33.3,0,5,0,6,7,85.7,0,3,3,3,0,0,1,2,6,19.1
