PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Nikola Vucevic,CHI,CHI vs. TOR,10/27/2023,W,40,11,4,15,26.7,1,5,20,2,3,66.7,3,9,12,1,0,1,3,2,0,26.9
DeMar DeRozan,CHI,CHI vs. TOR,10/27/2023,W,41,33,11,22,50,1,3,33.3,10,14,71.4,1,3,4,3,4,1,2,2,0,55.3
Ayo Dosunmu,CHI,CHI vs. TOR,10/27/2023,W,11,4,2,4,50,0,1,0,0,0,-,0,1,1,0,0,0,0,0,10,5.2
Patrick Williams,CHI,CHI vs. TOR,10/27/2023,W,13,3,1,5,20,1,4,25,0,0,-,0,3,3,1,2,0,2,3,-7,12.1
Jevon Carter,CHI,CHI vs. TOR,10/27/2023,W,13,0,0,2,0,0,2,0,0,0,-,0,1,1,2,0,0,1,1,2,3.2
Torrey Craig,CHI,CHI vs. TOR,10/27/2023,W,24,7,3,7,42.9,1,4,25,0,0,-,3,2,5,0,1,1,0,2,-6,19
Andre Drummond,CHI,CHI vs. TOR,10/27/2023,W,12,8,3,6,50,0,0,-,2,2,100,2,0,2,0,0,0,2,2,1,8.4
Damian Jones,CLE,CLE vs. OKC,10/27/2023,L,10,1,0,0,-,0,0,-,1,2,50,0,3,3,0,0,1,0,0,5,7.6
Caris LeVert,CLE,CLE vs. OKC,10/27/2023,L,31,17,7,16,43.8,3,9,33.3,0,0,-,0,2,2,2,1,1,1,1,-3,27.4
Ty Jerome,CLE,CLE vs. OKC,10/27/2023,L,9,2,1,3,33.3,0,1,0,0,0,-,1,0,1,3,0,0,1,1,-7,6.7
Dean Wade,CLE,CLE vs. OKC,10/27/2023,L,27,8,3,6,50,2,5,40,0,0,-,0,5,5,0,2,0,1,3,-9,19
Georges Niang,CLE,CLE vs. OKC,10/27/2023,L,21,2,1,6,16.7,0,5,0,0,0,-,0,2,2,1,0,0,0,2,0,5.9
Donovan Mitchell,CLE,CLE vs. OKC,10/27/2023,L,42,43,15,27,55.6,4,11,36.4,9,11,81.8,1,7,8,5,3,2,5,1,7,70.1
